"Country","HDI","Category","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","Occupation","Years","Months","Community","Status","NumSon","NumDaught","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","Q1Self","Q2Others","DPMean","AIPMean","GPMean","SWLSMean"
"Canada",0.92,"VeryHigh",45,"Male","Yes Kids","ltuni","full-time",87500,NA,14,4,"Small Town","Married",2,0,3,3,3,3,3,4,4,2,3,3,2,3,4,3,3,4,5,5,5,4,4,1,3,4,3,2,3,4,4,5,1,3,3,4,4,5,5,3,4,3,3,4,4,4,5,"yes","yes",3,3.6,3.4,4
"Canada",0.92,"VeryHigh",45,"Female","Yes Kids","deg","part-time",35000,NA,1,7,"Medium-Sized","Married",2,3,5,5,5,3,3,3,1,1,2,1,1,2,1,5,4,3,1,2,2,3,3,3,1,1,3,3,4,4,3,1,1,2,3,4,1,4,4,2,2,2,3,4,4,3,1,"yes","no",4.2,2.133,2.55,3
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","deg","full-time",150000,"engineer",30,0,"Medium-Sized","Married",0,3,3,3,3,3,3,3,3,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"yes","yes",3,2.867,2.85,3
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","deg","full-time",250000,"Janitor",28,0,"Medium-Sized","Married",0,3,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3.133,3,5
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","deg","full-time",150000,"manager",6,0,"Large-City","Separated",2,1,3,2,2,2,1,1,2,3,2,2,4,2,3,2,2,4,2,3,2,3,3,1,2,1,1,2,2,4,3,1,5,2,1,2,3,3,2,3,2,2,4,4,4,4,4,"no","no",2,2.467,2.25,4
"Canada",0.92,"VeryHigh",45,"Male","No Kids","ma","full-time",150000,"vice-president",10,0,"Large-City","Married",0,0,2,4,2,2,2,3,3,5,3,3,2,4,4,2,4,3,3,4,3,3,4,3,3,4,3,2,4,3,4,3,3,4,4,2,4,4,4,4,3,4,4,5,4,5,4,"yes","yes",2.4,3.267,3.45,4.4
"Canada",0.92,"VeryHigh",45,"Male","No Kids","phd","part-time",45000,NA,0,3,"Village","Married",0,0,3,4,4,2,2,2,2,4,4,3,2,1,3,1,3,2,3,4,2,3,3,1,2,3,2,2,3,3,5,3,5,4,3,2,3,5,3,3,3,4,5,5,5,5,4,"yes","no",3,2.6,3.1,4.8
"Canada",0.92,"VeryHigh",45,"Female","No Kids","deg","part-time",35000,NA,1,6,"Medium-Sized","Widowed",0,0,3,3,2,1,1,1,1,3,2,2,2,3,1,1,2,2,3,2,1,1,4,1,2,1,2,3,3,3,4,1,1,3,2,3,3,3,1,4,3,3,5,5,4,4,4,"no","no",2,1.8,2.5,4.4
"Canada",0.92,"VeryHigh",28,"Male","No Kids","deg","full-time",87500,NA,2,0,"Village","Single",0,0,3,4,5,4,3,1,1,5,4,3,4,1,3,2,4,4,3,2,3,2,3,2,2,5,3,5,3,4,4,5,4,3,2,5,3,5,2,4,3,4,2,3,3,3,2,"yes","no",3.8,2.8,3.55,2.6
"Canada",0.92,"VeryHigh",24,"Male","No Kids","ltuni","student",10000,NA,1,0,"Medium-Sized","Single",0,0,4,3,3,2,2,2,2,3,3,2,3,3,4,3,3,2,2,3,2,2,3,2,3,3,2,2,3,3,4,2,4,3,2,2,3,3,3,4,4,4,4,3,3,3,3,"yes","yes",2.8,2.6,2.95,3.2
"Canada",0.92,"VeryHigh",25,"Female","No Kids","deg","full-time",35000,"Communications & Publishing",1,0,"","Single",0,0,4,2,2,3,3,1,2,1,3,4,4,4,3,4,4,3,4,3,4,2,4,3,1,5,4,4,4,4,5,1,2,5,2,3,4,3,2,4,5,4,2,3,3,2,2,"yes","yes",2.8,3.067,3.45,2.4
"Canada",0.92,"VeryHigh",21,"Male","No Kids","ltuni","student",10000,NA,0,0,"Medium-Sized","Single",0,0,4,3,3,2,2,1,1,4,2,2,4,3,3,2,4,3,4,4,2,1,4,1,3,4,2,2,4,3,4,3,3,4,3,3,4,4,4,4,3,3,1,3,3,2,1,"yes","yes",2.8,2.667,3.25,2
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","deg","full-time",250000,"Speaker Author Consultant",17,0,"Large-City","Married",2,2,3,3,3,2,2,3,1,4,2,2,2,2,3,2,3,3,1,4,1,3,3,2,3,2,4,4,3,4,4,1,4,3,3,2,3,3,3,2,3,4,4,5,4,3,3,"yes","no",2.6,2.4,3,3.8
"Canada",0.92,"VeryHigh",28,"Female","No Kids","ma","full-time",45000,"Financial Advisor",1,0,"Large-City","Married",0,0,2,3,3,3,3,2,3,3,3,2,4,2,4,1,3,3,2,3,3,4,3,2,3,3,3,2,3,2,3,4,4,2,2,4,4,4,4,4,4,5,3,4,3,4,4,"yes","no",2.8,2.8,3.25,3.6
"Canada",0.92,"VeryHigh",38,"Male","No Kids","ltuni","full-time",67500,"manager",5,10,"Large-City","Divorced",0,0,2,3,2,2,2,4,1,4,1,2,2,3,4,2,2,1,1,1,1,4,3,1,2,4,3,2,4,3,4,1,1,3,4,2,4,4,2,4,3,4,2,2,2,2,5,"yes","no",2.2,2.2,2.9,2.6
"Canada",0.92,"VeryHigh",68,"Male","Yes Kids","ma","retired",67500,"retired",1,0,"Large-City","Married",0,2,2,2,3,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,"no","no",2,1.267,1.45,2.6
"Canada",0.92,"VeryHigh",28,"Male","No Kids","deg","student",15000,NA,1,6,"Small Town","Single",0,0,3,4,4,2,2,2,2,5,3,2,5,3,3,4,3,5,4,4,4,3,3,1,2,4,3,5,3,4,4,4,5,4,2,3,4,5,3,4,3,3,1,2,3,2,1,"yes","yes",3,3.467,3.45,1.8
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","ma","part-time",67500,"Software engineer",17,0,"Large-City","Married",1,2,2,2,3,2,3,1,1,3,4,3,2,2,3,2,3,2,3,2,2,2,4,2,3,2,3,3,3,3,4,4,2,4,4,4,3,4,3,4,4,4,2,2,4,3,3,"yes","yes",2.4,2.333,3.35,2.8
"Canada",0.92,"VeryHigh",22,"Female","No Kids","deg","full-time",25000,"Training Coordinator",0,3,"Large-City","Single",0,0,4,5,5,5,5,2,1,1,1,5,5,5,5,4,5,5,1,3,1,5,1,5,3,1,5,5,3,4,5,1,1,5,5,5,5,5,5,4,5,5,2,2,2,1,1,"yes","yes",4.8,3.267,3.9,1.6
"Canada",0.92,"VeryHigh",55,"Female","No Kids","deg","full-time",87500,"Senior Human Resources Consultant",1,0,"Large-City","Divorced",0,0,4,4,3,3,3,2,2,3,3,3,3,1,2,2,5,2,2,4,3,3,3,2,2,4,4,4,3,2,4,2,2,4,4,1,3,2,3,3,4,4,3,4,4,3,3,"yes","no",3.4,2.667,3,3.4
"Canada",0.92,"VeryHigh",20,"Female","No Kids","ltuni","student",10000,NA,2,9,"Large Town","Single",0,0,5,5,5,5,5,5,4,5,5,5,4,3,5,4,5,3,5,4,4,2,4,2,3,5,5,3,5,5,5,3,3,5,1,5,5,4,4,5,5,5,1,1,1,1,1,"yes","yes",5,4.2,4.1,1
"Canada",0.92,"VeryHigh",32,"Female","No Kids","deg","full-time",45000,NA,2,10,"Village","Single",0,0,3,3,3,2,2,2,1,4,2,2,1,1,2,1,2,2,1,2,1,3,2,1,2,1,2,4,3,3,3,1,1,3,2,2,2,1,2,3,2,2,2,2,2,2,1,"yes","no",2.6,1.8,2.1,1.8
"Canada",0.92,"VeryHigh",20,"Male","No Kids","high","student",10000,NA,0,0,"Village","Single",0,0,4,4,4,3,3,2,3,4,3,4,2,4,4,1,4,5,4,3,3,3,3,3,3,3,2,2,5,4,4,2,3,3,3,3,4,1,3,5,4,4,1,1,2,1,2,"yes","yes",3.6,3.267,3.2,1.4
"Canada",0.92,"VeryHigh",55,"Male","No Kids","ltuni","part-time",10000,NA,3,0,"Large-City","Married",0,0,5,5,5,5,5,3,1,5,3,4,2,4,5,5,5,4,2,4,1,4,4,3,4,2,4,4,5,4,1,4,3,5,3,5,4,4,2,4,4,4,2,4,3,3,1,"yes","yes",5,3.467,3.65,2.6
"Canada",0.92,"VeryHigh",45,"Female","No Kids","dip","full-time",15000,NA,3,0,"Medium-Sized","Married",0,0,3,3,3,3,3,1,1,2,1,3,1,1,2,1,3,3,2,5,1,2,3,1,1,1,3,4,3,4,4,1,4,3,4,2,2,3,3,4,4,3,3,3,3,3,2,"yes","no",3,1.933,2.85,2.8
"Canada",0.92,"VeryHigh",38,"Female","Yes Kids","deg","full-time",67500,NA,1,4,"Small Town","Married",1,1,4,5,4,3,3,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,4,5,4,3,5,3,4,4,5,5,4,5,5,5,5,4,5,3,3,4,2,4,3,"yes","yes",3.8,4.8,4.3,3.2
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","dip","full-time",45000,NA,7,11,"Large Town","Separated",1,3,3,2,2,2,3,3,3,5,2,3,3,2,3,1,2,3,3,4,2,3,4,3,2,3,4,5,1,4,2,5,2,4,3,3,3,5,4,5,2,5,2,2,2,2,2,"yes","yes",2.4,2.8,3.45,2
"Canada",0.92,"VeryHigh",32,"Female","No Kids","deg","full-time",67500,NA,8,9,"8","Married",0,0,3,4,4,2,2,1,1,5,2,2,2,2,1,2,2,4,1,3,1,2,3,1,2,4,4,1,3,4,3,1,2,3,1,3,3,5,3,3,3,4,3,3,3,3,1,"yes","yes",3,2.067,2.8,2.6
"Canada",0.92,"VeryHigh",28,"Female","No Kids","ma","part-time",15000,NA,0,6,"Village","Married",0,0,4,5,5,4,4,2,2,1,4,4,5,3,4,4,4,4,3,5,3,4,4,4,4,4,4,4,4,5,4,2,4,4,2,4,4,3,3,4,4,4,2,3,3,2,1,"yes","yes",4.4,3.467,3.75,2.2
"Canada",0.92,"VeryHigh",55,"Male","No Kids","ma","retired",10000,NA,6,0,"Village","Single",0,0,5,5,5,3,3,4,5,5,5,3,1,5,3,3,5,2,5,5,5,5,5,2,2,4,5,1,5,5,5,5,5,5,5,3,3,5,5,4,5,4,1,2,4,1,1,"yes","yes",4.2,4.067,4.15,1.8
"Canada",0.92,"VeryHigh",45,"Male","No Kids","ma","full-time",NA,NA,2,0,"Village","Married",0,0,3,3,2,2,2,2,3,5,3,3,3,3,3,2,3,2,3,4,2,3,3,2,3,4,3,2,2,3,2,2,3,2,3,3,3,4,3,3,3,4,3,3,3,3,2,"yes","no",2.4,2.933,2.85,2.8
"Canada",0.92,"VeryHigh",38,"Female","No Kids","phd","full-time",35000,NA,2,0,"Village","Single",0,0,3,3,4,2,2,1,2,5,5,1,1,4,5,1,1,5,4,5,2,2,5,1,3,1,1,2,4,4,4,4,3,4,1,4,5,4,4,4,5,5,3,4,4,4,3,"yes","no",2.8,2.933,3.4,3.6
"Canada",0.92,"VeryHigh",20,"Female","No Kids","ltuni","student",15000,NA,0,0,"Large Town","Single",0,0,5,4,3,4,4,3,4,5,4,5,1,5,4,4,4,3,3,4,4,4,3,3,3,4,4,2,4,4,5,4,4,5,4,4,5,4,5,4,5,5,2,3,3,2,3,"yes","yes",4,3.8,4.05,2.6
"Canada",0.92,"VeryHigh",20,"Female","No Kids","ltuni","student",10000,NA,0,0,"Small City","Single",0,0,5,4,5,4,4,1,3,5,5,5,5,5,3,5,5,4,4,3,4,3,4,2,1,5,3,3,3,3,4,4,5,5,3,5,5,4,4,5,5,3,1,1,1,1,1,"yes","yes",4.4,4,3.8,1
"Canada",0.92,"VeryHigh",23,"Male","No Kids","deg","student",NA,NA,0,0,"Medium-Sized","Single",0,0,3,3,3,3,3,3,2,2,3,3,1,3,4,3,4,5,3,4,4,4,3,4,2,5,4,1,3,3,4,1,4,4,3,3,4,3,3,3,4,3,3,4,4,4,4,"yes","yes",3,3.2,3.2,3.8
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","phd","full-time",55000,"college professor",23,0,"Large-City","Married",1,0,4,4,4,4,4,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,2,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,1,3,2,1,1,"yes","yes",4,4.6,4.2,1.6
"Canada",0.92,"VeryHigh",38,"Male","No Kids","deg","full-time",150000,"engineer",3,7,"Large-City","Single",0,0,5,3,4,3,4,2,3,3,5,5,4,4,5,5,5,3,5,1,3,4,5,3,4,5,3,4,4,5,5,5,4,4,4,3,4,4,4,5,5,5,1,1,1,1,1,"yes","yes",3.8,3.8,4.25,1
"Canada",0.92,"VeryHigh",20,"Male","No Kids","ltuni","student",10000,NA,0,0,"Large-City","Single",0,0,4,2,2,2,2,1,2,2,5,1,5,5,4,4,5,3,3,2,4,4,4,1,1,5,3,3,4,3,5,5,5,5,1,3,4,5,3,4,5,5,4,5,4,4,2,"yes","yes",2.4,3.333,3.7,3.8
"Canada",0.92,"VeryHigh",20,"Female","No Kids","ltuni","student",15000,"Server",0,9,"Large-City","Single",0,0,3,2,2,1,2,3,1,2,1,2,1,3,4,2,3,2,1,4,1,4,3,2,2,2,4,2,3,3,4,2,2,4,3,3,3,2,2,2,3,2,4,5,4,5,4,"yes","yes",2,2.267,2.65,4.4
"Canada",0.92,"VeryHigh",32,"Female","No Kids","dip","full-time",45000,"Editor",5,0,"Large-City","Married",0,0,4,3,3,2,2,2,1,1,2,1,3,2,5,1,4,5,1,3,1,1,5,1,3,5,1,4,4,2,4,1,1,4,2,2,4,2,2,4,4,4,4,4,4,4,4,"yes","yes",2.8,2.2,2.95,4
"Canada",0.92,"VeryHigh",45,"Female","Yes Kids","dip","full-time",67500,NA,0,4,"Village","Divorced",0,1,1,2,2,1,1,3,2,3,3,2,2,2,2,2,3,3,3,4,2,3,4,2,3,5,4,2,3,5,3,1,2,2,3,2,3,3,2,4,2,5,3,3,3,3,3,"yes","no",1.4,2.6,3,3
"Canada",0.92,"VeryHigh",38,"Female","No Kids","ltuni","unemployed",25000,NA,7,8,"Small Town","Single",0,0,4,5,5,3,3,2,5,5,5,5,3,4,4,4,5,2,5,3,5,5,5,1,1,5,5,2,5,4,5,5,4,5,3,3,4,3,3,4,5,5,1,1,2,1,2,"yes","yes",4,4.133,3.85,1.4
"Canada",0.92,"VeryHigh",32,"Female","No Kids","deg","part-time",25000,"entertainer",10,0,"Large-City","Single",0,0,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,2,1,1,1,"yes","yes",5,4.733,4.65,1.4
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","phd","full-time",45000,"Scientist",14,0,"Large-City","Widowed",0,1,3,3,4,3,3,2,2,3,3,3,1,3,3,2,4,2,3,3,2,3,3,2,3,2,3,2,3,4,2,2,3,4,3,4,3,4,2,3,3,3,3,4,4,3,3,"no","yes",3.2,2.6,2.9,3.4
"Canada",0.92,"VeryHigh",21,"Female","No Kids","deg","student",10000,NA,8,0,"Large-City","Separated",0,0,4,4,4,4,2,2,1,2,1,1,3,4,4,1,1,2,1,4,2,3,3,2,2,2,4,3,3,4,4,2,2,5,3,3,5,4,3,5,4,4,2,3,3,3,4,"yes","yes",3.6,2.133,3.35,3
"Canada",0.92,"VeryHigh",28,"Female","No Kids","deg","full-time",67500,"Journalist",4,0,"Large-City","Single",0,0,3,4,4,3,3,1,2,2,3,2,2,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,4,3,1,3,3,3,3,2,3,3,4,4,4,4,4,"yes","no",3.4,2.533,2.95,4
"Canada",0.92,"VeryHigh",38,"Female","Yes Kids","deg","unemployed",15000,"Editor",5,0,"Large-City","Married",0,1,4,4,4,3,3,3,3,3,4,3,2,3,3,3,4,4,4,4,3,3,4,2,3,3,4,3,4,4,5,2,3,4,3,3,3,4,4,4,5,2,2,3,3,3,3,"yes","yes",3.6,3.267,3.45,2.8
"Canada",0.92,"VeryHigh",45,"Female","No Kids","deg","full-time",45000," teacher",4,0,"Large-City","Married",0,0,4,4,3,3,3,3,3,2,5,4,1,5,4,4,5,5,3,3,4,5,5,2,3,5,4,3,4,3,5,4,2,4,2,3,4,4,4,4,3,4,3,4,3,3,1,"yes","yes",3.4,3.733,3.6,2.8
"Canada",0.92,"VeryHigh",19,"Female","No Kids","ltuni","student",10000,"clerk",0,5,"Large-City","Single",0,0,4,3,4,3,3,4,3,5,4,4,4,4,5,4,4,2,4,3,4,3,4,1,3,5,3,1,4,3,4,2,4,5,3,2,4,3,3,4,5,5,1,2,2,2,2,"yes","yes",3.4,3.8,3.4,1.8
"Canada",0.92,"VeryHigh",24,"Female","No Kids","deg","full-time",25000,NA,0,4,"Village","Single",0,0,4,5,4,4,4,1,2,1,4,4,2,5,4,3,4,4,4,4,4,3,5,4,3,2,5,4,3,4,5,4,5,4,2,4,4,5,4,4,4,4,4,4,3,3,2,"yes","yes",4.2,3.267,3.95,3.2
"Canada",0.92,"VeryHigh",68,"Male","Yes Kids","ltuni","retired",45000,NA,13,0,"Small Town","Married",1,0,3,3,2,1,1,1,1,1,3,3,2,2,3,2,3,1,2,2,2,2,3,2,2,1,1,5,3,2,2,1,3,2,1,1,3,4,2,2,2,2,5,5,5,5,5,"no","no",2,2,2.2,5
"Canada",0.92,"VeryHigh",55,"Female","Yes Kids","deg","full-time",NA,NA,0,0,"Village","Married",0,1,3,3,2,2,2,2,1,4,5,3,1,2,4,2,4,4,3,4,3,3,3,2,3,1,2,2,3,2,4,3,4,4,4,2,3,5,4,5,4,3,4,3,4,4,1,"yes","no",2.4,3,3.15,3.2
"Canada",0.92,"VeryHigh",22,"Male","No Kids","deg","student",10000,NA,0,0,"Medium-Sized","Single",0,0,3,3,3,2,3,1,3,5,4,4,1,4,5,3,4,5,3,4,4,2,4,2,3,3,3,2,3,3,4,4,4,2,3,3,5,4,3,4,2,4,2,3,2,2,3,"yes","yes",2.8,3.467,3.25,2.4
"Canada",0.92,"VeryHigh",22,"Female","No Kids","ma","student",25000,NA,2,0,"Village","Single",0,0,3,3,2,2,2,1,2,4,4,2,3,2,3,2,3,3,4,2,4,3,3,3,2,4,3,3,3,3,3,4,4,3,2,3,3,4,3,3,2,2,3,3,3,4,3,"yes","no",2.4,2.8,3,3.2
"Canada",0.92,"VeryHigh",55,"Female","No Kids","grade","unemployed",10000,NA,NA,0,"Village","Single",0,0,5,4,5,4,4,1,2,5,3,5,5,5,5,4,5,4,2,3,2,5,5,4,4,1,1,2,5,4,5,4,4,5,1,2,5,4,4,5,5,5,1,1,1,1,1,"yes","yes",4.4,3.733,3.75,1
"Canada",0.92,"VeryHigh",28,"Female","No Kids","deg","part-time",25000,NA,0,6,"Village","Single",0,0,4,4,4,4,4,2,2,3,3,5,5,3,5,4,4,1,1,1,2,4,5,1,1,5,4,2,5,4,5,3,5,5,2,1,5,4,2,5,3,3,4,5,4,5,4,"yes","yes",4,3,3.5,4.4
"Canada",0.92,"VeryHigh",32,"Male","Yes Kids","deg","full-time",67500,NA,4,0,"Small Town","Married",0,1,4,3,5,5,5,1,1,4,4,4,3,4,4,2,4,4,3,2,4,4,4,2,4,4,2,4,4,4,4,3,3,4,1,3,4,4,4,3,4,4,2,3,2,3,2,"yes","yes",4.4,3.2,3.45,2.4
"Canada",0.92,"VeryHigh",55,"Female","Yes Kids","phd","full-time",150000,"college professor",NA,0,"Large-City","Married",0,1,2,2,3,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,3,2,4,3,2,2,1,1,2,1,4,2,3,2,2,2,2,4,5,5,5,4,"no","no",1.8,1.4,2.2,4.6
"Canada",0.92,"VeryHigh",32,"Female","No Kids","ma","unemployed",45000,"Statistician",2,0,"Large-City","Married",0,0,5,5,5,2,2,1,3,3,4,4,4,4,4,2,4,3,3,3,3,2,5,5,5,4,2,3,3,4,5,5,2,4,4,4,4,4,4,4,4,5,3,4,4,3,3,"yes","yes",3.8,3.133,4,3.4
"Canada",0.92,"VeryHigh",21,"Male","No Kids","deg","student",10000,NA,0,0,"Medium-Sized","Single",0,0,4,4,3,3,3,3,2,3,3,3,4,4,4,3,3,3,2,4,3,3,3,3,3,3,3,3,4,3,4,4,2,4,4,3,4,4,4,3,3,4,3,4,3,3,2,"yes","yes",3.4,3.133,3.4,3
"Canada",0.92,"VeryHigh",45,"Male","No Kids","ma","part-time",67500,"attorney",17,0,"Large-City","Married",0,0,2,3,2,2,2,2,2,3,3,3,2,3,4,3,3,2,3,3,2,2,3,2,2,2,2,2,3,4,3,3,2,3,2,2,4,3,2,3,3,3,3,4,4,4,3,"yes","yes",2.2,2.667,2.65,3.6
"Canada",0.92,"VeryHigh",19,"Female","No Kids","ltuni","student",15000,"Student / working part-time",2,0,"Large-City","Single",0,0,2,2,2,1,1,1,1,2,4,1,2,4,4,4,3,1,2,2,3,2,3,1,2,5,5,3,5,4,5,1,1,4,1,1,5,4,4,3,3,4,4,5,4,5,5,"yes","yes",1.6,2.4,3.2,4.6
"Canada",0.92,"VeryHigh",19,"Male","No Kids","ltuni","student",NA,NA,0,0,"Village","Single",0,0,4,3,3,2,2,2,2,2,2,2,2,2,3,2,5,5,3,4,2,1,2,2,3,3,1,3,2,2,3,2,2,4,3,3,3,3,2,4,3,3,2,2,1,2,4,"yes","no",2.8,2.6,2.65,2.2
"Canada",0.92,"VeryHigh",55,"Male","No Kids","deg","full-time",67500,NA,0,0,"","Married",0,0,3,4,4,4,4,1,1,2,3,3,3,2,4,3,3,2,3,2,3,3,3,2,2,4,2,3,3,3,2,2,4,3,3,4,4,3,2,3,3,2,1,2,1,3,3,"yes","yes",3.8,2.533,2.85,2
"Canada",0.92,"VeryHigh",24,"Male","No Kids","deg","student",10000,NA,17,0,"Large-City","Single",0,0,4,5,5,4,4,1,1,1,5,4,5,5,3,3,3,3,1,2,2,3,3,2,1,3,1,1,2,2,2,1,3,2,4,2,4,5,4,5,3,3,3,2,2,1,1,"yes","yes",4.4,2.8,2.65,1.8
"Canada",0.92,"VeryHigh",55,"Female","Yes Kids","ma","full-time",67500,"Counselor",17,0,"Large-City","Single",0,1,5,3,2,2,2,5,2,5,3,5,4,5,5,3,4,5,3,5,2,5,4,4,4,4,5,4,4,4,5,2,3,5,5,4,5,5,5,5,5,1,4,4,4,4,2,"yes","yes",2.8,4.067,4.15,3.6
"Canada",0.92,"VeryHigh",23,"Female","No Kids","deg","part-time",10000,"clerk",7,2,"Large-City","Single",0,0,2,4,2,1,1,1,5,5,5,1,5,3,4,1,3,4,5,3,5,3,3,2,1,5,2,1,3,1,4,2,1,4,1,3,4,3,2,3,2,2,2,2,2,3,5,"yes","no",2,3.533,2.45,2.8
"Canada",0.92,"VeryHigh",38,"Male","Yes Kids","deg","full-time",87500,"Software engineer",17,0,"Small City","Married",0,2,4,4,5,3,3,3,3,5,4,5,4,4,5,5,5,5,4,5,2,5,5,3,4,4,4,3,5,4,5,2,4,5,5,4,5,5,4,5,5,5,2,2,1,1,1,"yes","yes",3.8,4.267,4.3,1.4
"Canada",0.92,"VeryHigh",55,"Female","No Kids","dip","full-time",NA,"Nurse",30,0,"Medium-Sized","",0,0,2,3,2,2,3,1,1,1,2,2,3,2,2,2,3,1,2,1,3,1,3,2,2,1,3,3,2,2,2,2,2,2,1,1,1,2,2,2,1,2,3,5,5,5,3,"no","no",2.4,1.8,1.9,4.2
"Canada",0.92,"VeryHigh",20,"Female","No Kids","ltuni","student",NA,NA,2,7,"Small City","Single",0,0,5,5,3,3,3,2,2,5,5,5,5,5,5,5,5,4,4,4,3,5,5,3,4,4,4,2,5,5,5,5,4,5,1,2,5,4,4,5,5,5,2,1,2,2,1,"yes","no",3.8,4.267,4.1,1.6
"Canada",0.92,"VeryHigh",28,"Female","No Kids","deg","full-time",45000,NA,3,0,"Large Town","Single",0,0,3,3,2,2,2,1,1,3,2,2,4,2,2,2,2,3,3,1,3,2,3,2,2,1,3,2,3,3,3,2,2,3,1,2,3,2,2,3,3,3,3,3,4,4,3,"yes","yes",2.4,2.2,2.4,3.4
"Canada",0.92,"VeryHigh",32,"Male","No Kids","ltuni","full-time",55000,NA,7,0,"Village","Married",0,0,5,3,3,3,2,1,2,2,4,3,3,3,4,2,4,2,2,1,2,4,4,5,2,5,2,5,3,3,3,4,1,3,1,4,5,5,3,2,4,4,2,3,3,2,2,"yes","yes",3.2,2.6,3.4,2.4
"Canada",0.92,"VeryHigh",55,"Male","Yes Kids","ma","full-time",87500,NA,5,0,"Small Town","Married",1,2,4,2,1,1,1,1,1,5,2,4,5,4,3,2,4,1,1,2,1,3,4,3,3,1,1,2,4,2,4,1,2,4,1,1,3,4,3,3,4,3,3,5,4,4,1,"yes","yes",1.8,2.6,2.65,3.4
"Canada",0.92,"VeryHigh",55,"Female","Yes Kids","phd","full-time",87500,NA,0,0,"Village","Married",1,1,5,4,4,2,2,1,1,1,1,1,1,2,3,1,3,5,2,3,1,1,5,1,3,2,4,1,4,4,1,1,4,4,2,2,5,4,4,4,2,4,4,4,4,4,4,"yes","no",3.4,1.8,3.05,4
"Canada",0.92,"VeryHigh",32,"Male","No Kids","ltuni","full-time",67500,"Director of Software Company",1,7,"Large-City","Married",0,0,5,5,3,3,3,4,2,3,3,5,5,3,5,5,5,5,3,4,2,5,5,3,3,4,4,4,5,3,5,2,3,5,5,4,5,5,4,5,1,5,2,3,3,3,2,"yes","yes",3.8,3.933,4,2.6
"Canada",0.92,"VeryHigh",45,"Female","No Kids","ma","student",55000,NA,10,0,"Village","Single",0,0,3,3,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,3,1,1,3,2,3,3,4,1,2,4,2,1,3,4,1,4,4,4,5,5,5,5,4,"yes","no",3,1.267,2.65,4.8
"Canada",0.92,"VeryHigh",45,"Male","No Kids","deg","full-time",150000,NA,0,0,"Village","Widowed",0,0,3,4,5,5,5,4,3,5,1,4,2,4,5,4,4,5,4,4,4,5,5,4,4,5,3,3,4,5,3,4,3,4,4,3,5,5,5,4,4,5,2,4,3,4,3,"yes","no",4.4,3.867,4.1,3.2
"Canada",0.92,"VeryHigh",19,"Male","No Kids","ltuni","student",10000,NA,0,0,"Large-City","Single",0,0,1,1,1,1,1,2,4,5,4,2,1,3,4,3,4,2,5,3,1,1,2,1,3,4,1,1,2,2,4,2,4,5,2,4,5,1,1,3,1,5,2,4,2,2,2,"yes","yes",1,2.933,2.65,2.4
"Canada",0.92,"VeryHigh",55,"Female","Yes Kids","ltuni","part-time",10000,"Fitness Instructor",23,0,"Rural/Country","Married",2,0,3,3,2,1,1,1,1,2,3,3,1,3,4,1,2,4,2,2,1,1,3,1,2,2,1,1,3,2,3,1,1,3,1,1,3,4,2,3,2,2,3,3,4,4,3,"yes","no",2,2.067,2.05,3.4
"Canada",0.92,"VeryHigh",28,"Female","No Kids","dip","full-time",NA,NA,2,7,"","",0,0,4,3,4,3,3,1,1,1,3,2,3,2,3,2,3,3,2,2,2,1,4,1,2,4,3,4,3,4,4,1,4,3,1,4,3,4,2,4,4,3,3,3,4,3,2,"yes",NA,3.4,2.067,3.1,3
